Month,E,U,Us
"Feb
2014",145134,10349,2376
"Mar
2014",145648,10380,2433
"Apr
2014",145667,9702,2424
"May
2014",145825,9859,2586
"Jun
2014",146247,9460,2417
"Jul
2014",146399,9608,2601
"Aug
2014",146530,9599,2620
"Sep
2014",146778,9262,2365
"Oct
2014",147427,8990,2494
"Nov
2014",147404,9090,2474
"Dec
2014",147615,8717,2370
"Jan
2015",148145,8885,2393
"Feb
2015",148045,8599,2392
"Mar
2015",148128,8515,2444
"Apr
2015",148511,8550,2716
"May
2015",148817,8834,2471
"Jun
2015",148816,8247,2309
"Jul
2015",148830,8167,2574
"Aug
2015",149181,7992,2073
"Sep
2015",148826,7907,2364
"Oct
2015",149246,7922,2372
"Nov
2015",149463,8000,2382
"Dec
2015",150128,7907,2399
"Jan
2016",150653,7627,2166
"Feb
2016",150939,7702,2235
"Mar
2016",151218,7961,2419
"Apr
2016",151074,8067,2594
"May
2016",151132,7652,2264
"Jun
2016",151223,7744,2396
"Jul
2016",151554,7641,2203
"Aug
2016",151779,7784,2285
"Sep
2016",151761,7953,2600
"Oct
2016",151793,7811,2434
"Nov
2016",151954,7553,2404
"Dec
2016",152157,7521,2354
